country,continent,year,lifeExp,pop,gdpPercap
Haiti,Americas,2007,60.916,8502814,1201.637154
Nicaragua,Americas,2007,72.899,5675356,2749.320965
Honduras,Americas,2007,70.198,7483763,3548.330846
Bolivia,Americas,2007,65.554,9119152,3822.137084
Paraguay,Americas,2007,71.752,6667147,4172.838464
Guatemala,Americas,2007,70.259,12572928,5186.050003
El Salvador,Americas,2007,71.878,6939688,5728.353514
Dominican Republic,Americas,2007,72.235,9319622,6025.374752
Ecuador,Americas,2007,74.994,13755680,6873.262326
Colombia,Americas,2007,72.889,44227550,7006.580419
Jamaica,Americas,2007,72.567,2780132,7320.880262
Peru,Americas,2007,71.421,28674757,7408.905561
Cuba,Americas,2007,78.273,11416987,8948.102923
Brazil,Americas,2007,72.39,190010647,9065.800825
Costa Rica,Americas,2007,78.782,4133884,9645.06142
Panama,Americas,2007,75.537,3242173,9809.185636
Uruguay,Americas,2007,76.384,3447496,10611.46299
Venezuela,Americas,2007,73.747,26084662,11415.80569
Mexico,Americas,2007,76.195,108700891,11977.57496
Argentina,Americas,2007,75.32,40301927,12779.37964
Chile,Americas,2007,78.553,16284741,13171.63885
Trinidad and Tobago,Americas,2007,69.819,1056608,18008.50924
Puerto Rico,Americas,2007,78.746,3942491,19328.70901
Canada,Americas,2007,80.653,33390141,36319.23501
United States,Americas,2007,78.242,301139947,42951.65309
